demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,limit,demand_limit,improved_envelope,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,improved_mech_system,kWh,6085.53996157,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,improved_mech_system,kWh,235.671273544,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,improved_mech_system,kWh,1487.14055232,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,improved_mech_system,kWh,1165.31613183,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,improved_mech_system,kWh,7732.03960955,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,improved_mech_system,kWh,3714.13522882,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,improved_mech_system,kWh,7945.39614736,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,improved_mech_system,kWh,17448.5053865,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,improved_mech_system,kWh,577.725586109,heating_demand.north,North,390
heating,gain,east,improved_mech_system,kWh,610.484753318,heating_demand.east,East,391
heating,gain,south,improved_mech_system,kWh,2239.6840111,heating_demand.south,South,392
heating,gain,west,improved_mech_system,kWh,0,heating_demand.west,West,393
heating,gain,horizontal,improved_mech_system,kWh,604.068772745,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,improved_mech_system,kWh,1387.17039731,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,improved_mech_system,kWh,5737.14754937,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,improved_mech_system,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,improved_mech_system,kWh,6590.10730876,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,improved_mech_system,kWh,2022.21248585,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,improved_mech_system,kWh,262.421172028,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,improved_mech_system,kWh,494.17376471,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,improved_mech_system,kWh,1297.58549059,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,improved_mech_system,kWh,2569.34095219,cooling_demand.windows,Windows,407
cooling,loss,thermal_bridges,improved_mech_system,kWh,1234.19954207,cooling_demand.thermal_bridges,Thermal Bridges,409
cooling,loss,ventilation_basic,improved_mech_system,kWh,2512.51913981,cooling_demand.ventilation_basic,Ventilation (Basic),412
cooling,loss,ventilation_addn_l,improved_mech_system,kWh,501.498416261,cooling_demand.ventilation_addn_l,Ventilation (Addn'l),413
cooling,gain,north,improved_mech_system,kWh,773.499816555,cooling_demand.north,North,414
cooling,gain,east,improved_mech_system,kWh,890.300202882,cooling_demand.east,East,415
cooling,gain,south,improved_mech_system,kWh,1282.032241,cooling_demand.south,South,416
cooling,gain,west,improved_mech_system,kWh,0,cooling_demand.west,West,417
cooling,gain,horizontal,improved_mech_system,kWh,902.090631969,cooling_demand.horizontal,Horizontal,418
