metric,role,variant_id,units,value,source_field_id,source_label,excel_row
heat_demand,result,enerphit_by_component,kWh,12007.5439464,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,enerphit_by_component,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,enerphit_by_component,kWh,6841.64886158,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,enerphit_by_component,kWh,7697.02879236,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
latent_cooling_demand,result,enerphit_by_component,kWh,777.373075678,certification_results.latent_cooling_demand,Latent Cooling Demand,461
latent_cooling_demand,limit,enerphit_by_component,kWh,0,certification_limits.latent_cooling_demand_limit,Latent Cooling Demand Limit,365
total_cooling_demand,result,enerphit_by_component,kWh,7619.02193726,certification_results.total_cooling_demand,Total Cooling Demand,462
total_cooling_demand,limit,enerphit_by_component,kWh,0,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
peak_heat_load,result,enerphit_by_component,W,9958.74888049,certification_results.peak_heat_load,Peak Heat Load,463
peak_heat_load,limit,enerphit_by_component,W,0,certification_limits.peak_heat_load_limit,Peak Heat Load Limit,367
peak_cooling_load,result,enerphit_by_component,W,6350.40497845,certification_results.peak_cooling_load,Peak Cooling Load,464
peak_cooling_load,limit,enerphit_by_component,W,4532.4494482,certification_limits.peak_cooling_load_limit,Peak Cooling Load Limit,368
pe_demand,result,enerphit_by_component,kWh,79021.1068227,certification_results.pe_demand,PE Demand,465
pe_demand,limit,enerphit_by_component,kWh,0,certification_limits.pe_limit,PE Limit,369
per_demand,result,enerphit_by_component,kWh,38834.9819021,certification_results.per_demand,PER Demand,466
per_demand,limit,enerphit_by_component,kWh,37458.8734562,certification_limits.per_limit,PER Limit,370
phius_net_source_energy,limit,enerphit_by_component,kWh,11689.9882409,certification_limits.phius_net_source_energy_limit,PHIUS Net Source Energy Limit,371
heat_demand,result,enerphit_by_demand,kWh,7878.95595825,certification_results.heat_demand,Heat Demand,459
heat_demand,limit,enerphit_by_demand,kWh,10262.7050565,certification_limits.heat_demand_limit,Heat Demand Limit,363
sensible_cooling_demand,result,enerphit_by_demand,kWh,6363.91325346,certification_results.sensible_cooling_demand,Sensible Cooling Demand,460
sensible_cooling_demand,limit,enerphit_by_demand,kWh,7697.02879236,certification_limits.sensible_cooling_demand_limit,Sensible Cooling Demand Limit,364
